title,published_at,url
Entrega tu producto como una API - PyConES 2021,2021-10-19T08:50:33Z,https://www.youtube.com/watch?v=2o2NMA3quBs
Un salto cuántico con Python: experiencia en programación cuántica desde cero - PyConES 2021,2021-10-19T08:50:27Z,https://www.youtube.com/watch?v=-na0hEwFayI
Buenas prácticas para enseñar programación online - PyConES 2021,2021-10-19T08:50:38Z,https://www.youtube.com/watch?v=mhR1EzgOmOk
"Documenta tu proyecto con Markdown, Sphinx, y Read the Docs - PyConES 2021",2021-10-19T08:51:16Z,https://www.youtube.com/watch?v=w67e1B-V_i4
"Creating a well-being data layer using machine learning, satellite imagery and ground-truth data",2021-10-19T08:50:11Z,https://www.youtube.com/watch?v=Tp2mRusf-tU
Psicología Social y Machine Learning: un futuro ético - PyConES 2021,2021-10-19T08:51:24Z,https://www.youtube.com/watch?v=Z2OoUz5FT2g
Helping social entities to share private information using homomorphic encryption - PyConES 2021,2021-10-19T08:50:44Z,https://www.youtube.com/watch?v=xu1AZQBK-40
Reales de verdad - PyConES 2021,2021-10-19T08:51:10Z,https://www.youtube.com/watch?v=m0yMabF1_xk
Haciendo copias de seguridad de todo el conocimiento humano con Python y software libre -PyConES2021,2021-10-19T08:51:26Z,https://www.youtube.com/watch?v=Tk8sL5xn0iA
Interpretación de modelos de clasificación usando Python - PyConES 2021,2021-10-19T08:50:18Z,https://www.youtube.com/watch?v=YhCdshqBkrs
Python para equipos de ciberseguridad - PyConES 2021,2021-10-19T08:51:13Z,https://www.youtube.com/watch?v=uwmKCAIvVvs
Introducción a los algoritmos bioinspirados con Python - PyConES 2021,2021-10-19T08:51:32Z,https://www.youtube.com/watch?v=r1Xeyf669m8
Qt for Python: METAL EDITION! - PyConES 2021,2021-10-19T08:50:30Z,https://www.youtube.com/watch?v=7un5WajdF0A
Adiós Django: tu API usando solo Python - PyConES 2021,2021-10-19T08:50:50Z,https://www.youtube.com/watch?v=Su5skEhQ2n4
An introduction to hands-on football data analysis in Python - PyConES 2021,2021-10-19T08:50:54Z,https://www.youtube.com/watch?v=Udd9-hz9U1w
Mapeando fenología desde el cielo - PyConES 2021,2021-10-19T08:50:21Z,https://www.youtube.com/watch?v=vGEzSq0JLpM
Minority Report en Londres: Un análisis de las consecuencias del sesgo en la policía predictiva,2021-10-19T08:51:38Z,https://www.youtube.com/watch?v=PtsiV--YlIU
Tracking counterfeiting on the Web with Python and ML - PyConES 2021,2021-10-19T08:51:01Z,https://www.youtube.com/watch?v=YtBZCuSnehw
"Desarrollo dirigido por modelos, ¿humo o realidad? - PyConES 2021",2021-10-19T08:50:47Z,https://www.youtube.com/watch?v=ZPNOt9jtmsc
"SQLite, la (des) conocida super hormiga - PyConES 2021",2021-10-19T08:50:14Z,https://www.youtube.com/watch?v=Edkko3QoPMg
Clean Architectures with FastAPI - PyConES 2021,2021-10-19T08:50:41Z,https://www.youtube.com/watch?v=u-owwfBftg4
Testing efectivo con pytest - PyConES 2021,2021-10-19T08:51:20Z,https://www.youtube.com/watch?v=gb1pxGEteEU
La Química en Python con Algoritmos Estocásticos - PyConES 2021,2021-10-19T08:51:05Z,https://www.youtube.com/watch?v=DpFvDRJk1_Q
Microservicios en el mundo real con Python - PyConES 2021,2021-10-19T08:50:00Z,https://www.youtube.com/watch?v=h2CEJ81dgL0
Enseñando a enseñar - PyconES 2021,2021-10-19T08:50:06Z,https://www.youtube.com/watch?v=8mV4fP8ibmw
¿Cuánto contribuyo al cambio climático? Midiendo la huella de carbono con Python y FastAPI,2021-10-19T08:49:49Z,https://www.youtube.com/watch?v=_llcMDer_q0
PyConES 2021 - Sorteos y clausura,2021-10-04T06:05:11Z,https://www.youtube.com/watch?v=kHekueaEWno
"PyConES 2021 - Keynote: El camino recorrido, desde centroamérica hasta acá",2021-10-04T02:35:12Z,https://www.youtube.com/watch?v=kXj65XhpSM4
PyConES 2021 - Charlas (Domingo - Bloque A),2021-10-03T12:35:54Z,https://www.youtube.com/watch?v=3EwJOEeC19k
PyConES 2021 - Charlas (Domingo - Bloque B),2021-10-03T12:20:31Z,https://www.youtube.com/watch?v=KR9DO1gU7wc
